jargon,translation,discipline
Double Bind,"A situation in which an individual is given two different and incompatible demands, and cannot avoid being in conflict with one or the other.",Psychology
Receptor Agonist,"A substance that binds to a specific receptor and triggers a response in the cell, often mimicking the action of a naturally occurring substance.",Psychology
Proactive Interference,A phenomenon where previously learned information hinders the ability to remember new information.,Psychology
Retroactive Interference,A phenomenon where new information makes it harder to recall old information.,Psychology
Hippocampus,A section of the brain important for learning and memory.,Psychology
Neurotransmitters,Chemicals in the brain that transmit signals from a neuron to a target cell across a synapse.,Psychology
Somatization,The expression of mental phenomena as physical (somatic) symptoms.,Psychology
Prospective Memory,Remembering to perform a planned action or intention at the appropriate time in the future.,Psychology
Unconditioned Stimulus,"Something that triggers a natural, reflexive response without any learning.",Psychology
Zone of Proximal Development,"The gap between what a learner can do without help and what they can't do, even with assistance.",Psychology
Defense Mechanisms,Unconscious strategies that the mind uses to protect itself from distress.,Psychology
Cognitive Appraisal,A theory suggesting that our emotional response to a situation is based on our interpretation of that situation.,Psychology
Social Facilitation,The tendency for people to perform differently when in the presence of others than when alone.,Psychology
Self-fulfilling Prophecy,A prediction that directly or indirectly causes itself to become true due to positive feedback between belief and behavior.,Psychology
Normative Social Influence,The influence of other people on our behavior to be accepted and liked by them.,Psychology
Epigenetics,"Study of changes in organisms due to modification of gene expression, not alteration of the genetic code itself.",Psychology
Prosopagnosia,A neurological disorder characterized by the inability to recognize faces.,Psychology
Cathexis,"The process of investing mental or emotional energy into a person, object, or idea.",Psychology
Biopsychosocial Model,"A model that suggests biological, psychological, and social factors all play a significant role in human functioning.",Psychology
Hedonic Treadmill,The observed tendency of people to return to a relatively stable level of happiness despite major positive or negative events in their lives.,Psychology
Intermittent Reinforcement,"In learning theory, a schedule of reinforcement where a response is sometimes rewarded, leading to more resistant and persistent behavior.",Psychology
Triarchic Theory of Intelligence,"A model of intelligence that divides it into three parts: analytical (problem-solving), creative (innovation), and practical (common sense).",Psychology
Prefrontal Cortex,"Part of the brain involved in decision-making, personality expression, and moderating social behavior.",Psychology
Psychosomatic Symptoms,Physical symptoms caused by mental or emotional distress.,Psychology
Behavioral Therapy,A type of psychotherapy that aims to change harmful behaviors through a system of rewards and reinforcements.,Psychology
Latent Inhibition,The decreased ability to learn new information due to prior exposure to the same information.,Psychology
Psychodynamic Perspective,"A psychological theory that argues behavior is driven by unconscious thoughts, feelings, and memories.",Psychology
Working Memory,The part of short-term memory involved in the temporary storage and manipulation of information.,Psychology
Negative Reinforcement,The removal of an adverse stimulus to increase the behavior that leads to it.,Psychology
Mere Exposure Effect,The psychological phenomenon by which people tend to develop a preference for things merely because they are familiar with them.,Psychology
Oxytocin,"A hormone that plays a key role in social bonding, sexual reproduction, childbirth, and the period after childbirth.",Psychology
Extraversion,"A personality trait characterized by outgoing, energetic behavior and a preference for social interaction.",Psychology
Psychosomatic,A physical illness or other condition caused or aggravated by a mental factor such as internal conflict or stress.,Psychology
Pendentive,A curved triangle of vaulting formed by the intersection of a dome with its supporting arches.,Architecture
Sustainable Design,An approach to architecture that seeks to minimize environmental impact through energy efficiency and resource conservation.,Architecture
Load Bearing,A structural element that supports and transfers weight from the building to the foundation.,Architecture
Thermal Mass,"Materials in a building that store and release heat, helping to regulate indoor temperatures.",Architecture
Zoning Laws,Regulations that dictate how land can be used and what types of buildings can be constructed in certain areas.,Architecture
Blueprint,A detailed architectural plan or drawing that outlines the design and specifications of a building.,Architecture
Green Roof,A roof covered with vegetation that helps improve insulation and reduce stormwater runoff.,Architecture
Load-bearing,"A structural element that supports weight from above, such as walls or beams.",Architecture
Sustainability,Designing buildings in a way that minimizes environmental impact and promotes resource efficiency.,Architecture
Brise-soleil,An architectural feature that provides shade to reduce heat gain from the sun.,Architecture
Modular Design,A design approach that uses standardized units or sections to create a larger structure.,Architecture
Feng Shui,An ancient Chinese practice that arranges spaces to promote harmony and energy flow.,Architecture
Asymmetry,"A design principle where elements are unevenly balanced, creating visual interest and dynamism.",Architecture
Brise Soleil,A architectural feature designed to block sunlight while allowing natural light to enter a building.,Architecture
Sustainable Architecture,An architectural approach that seeks to minimize environmental impact through energy efficiency and resource conservation.,Architecture
Parametric Design,A design process that uses algorithms and parameters to define and manipulate shapes and forms.,Architecture
Urbanism,"The study and design of cities, focusing on the arrangement and organization of urban spaces.",Architecture
Interior Circulation,"The flow of movement within a building, including pathways and openings that facilitate access between spaces.",Architecture
Contextual Design,An approach that considers the surrounding environment and cultural factors when designing a building.,Architecture
Site Analysis,The evaluation of a location to determine its suitability for construction.,Architecture
Tensile Structure,"A building design that uses tension to support its form, often with a fabric or membrane.",Architecture
Envelope,"The outer shell of a building, including walls, roofs, and windows, that protects against environmental elements.",Architecture
Prototyping,Creating a preliminary model of a building or structure to test concepts and design before full-scale construction.,Architecture
Adaptive Reuse,The process of repurposing old buildings for new uses while retaining their historic features.,Architecture
Cantilevered Deck,"A deck that extends out from a building without support underneath, creating an overhang.",Architecture
Urban Fabric,"The physical layout and structure of a city, including its buildings, streets, and public spaces.",Architecture
R-value,A measure of thermal resistance used to determine insulation effectiveness in buildings.,Architecture
Building Code,A set of regulations governing the design and construction of buildings to ensure safety and health.,Architecture
Structural Load,"The weight and forces that a structure must support, including its own weight and any additional loads.",Architecture
Floor Plan,A scaled diagram that shows the layout of a building from a top-down perspective.,Architecture
Open Floor Plan,"An architectural layout that minimizes walls to create large, open spaces within a building.",Architecture
Trombe Wall,A passive solar building design that uses a wall to collect and store heat from the sun.,Architecture
HVAC,"Heating, Ventilation, and Air Conditioning; systems that control indoor climate.",Architecture
Post-and-Beam,A construction method using vertical posts and horizontal beams to create a framework.,Architecture
Cadastre,A comprehensive land recording system that includes information on property boundaries and ownership.,Architecture
Threshold,"The transitional strip between two spaces, often at doorways.",Architecture
Site Plan,A detailed drawing that shows the arrangement of buildings and landscaping on a property.,Architecture
Cantilevers,Horizontal beams or slabs that project beyond their support.,Architecture
Aesthetic,The principles and elements that define the beauty and visual appeal of a structure.,Architecture
GIS,"Geographic Information System, a technology for mapping and analyzing spatial data related to architecture and urban planning.",Architecture
Footing,The part of a foundation that distributes the weight of a building to the ground.,Architecture
Postmodernism,"An architectural style that emerged in the late 20th century, characterized by eclectic and unconventional designs.",Architecture
Biophilic Design,A design approach that seeks to connect people with nature through natural elements in buildings.,Architecture
Architectural Style,A distinctive design method or period that reflects cultural and historical context in building design.,Architecture
Tectonics,The study of how the form of a building relates to its structure and construction methods.,Architecture
Cantilevered Beam,"A beam that is fixed at one end and extends beyond its support, creating an overhanging effect.",Architecture
Massing,"The overall shape and size of a building, influencing its visual impact and spatial relationships.",Architecture
Proscenium,The arch or frame that separates the stage from the audience in a theater.,Architecture
BIM (Building Information Modeling),A digital representation of physical and functional characteristics of a building for better management.,Architecture
Acoustic Treatment,"Methods used to control sound within a space, improving clarity and reducing noise.",Architecture
Beam,A horizontal structural element that supports loads and spans open spaces.,Architecture
Spatial Planning,The process of organizing spaces in a building to enhance functionality and flow.,Architecture
Architectural Scale,A tool used to measure and create proportional representations of buildings in architectural drawings.,Architecture
Urban Renewal,The process of revitalizing abandoned or underdeveloped urban areas to improve living conditions.,Architecture
Aperture,"An opening in a building, such as a window or door, allowing light and air to enter.",Architecture
Aesthetics,The principles concerned with the nature and appreciation of beauty in architectural design.,Architecture
Programmatic Requirements,The specific needs and functions that a building design must fulfill.,Architecture
Program,A detailed description of the functions and spaces required in a building design.,Architecture
Acoustics,"The science of sound and its behavior in different environments, important for designing spaces.",Architecture
Passive Solar,"A design strategy that uses sunlight for heating and cooling without mechanical systems, enhancing energy efficiency.",Architecture
Contextualism,Designing buildings that relate harmoniously to their surrounding environment and culture.,Architecture
Urban Planning,The process of designing and organizing urban spaces to improve functionality and livability.,Architecture
Ionic Column,"A type of column characterized by scroll-like designs on its capital, originating from ancient Greece.",Architecture
Landscaping,The art of modifying the visible features of an area of land to enhance its aesthetic appeal.,Architecture
Smart Building,A structure that uses advanced technologies for improved energy efficiency and user comfort.,Architecture
Modular Construction,A building method where sections or modules are pre-fabricated off-site and then assembled on-site.,Architecture
As-built Drawings,"Updated drawings reflecting the actual construction of a project, showing changes made during building.",Architecture
Kinetic Architecture,Buildings designed to change shape or configuration in response to environmental conditions.,Architecture
Brutalism,"An architectural style characterized by stark, rugged forms and raw concrete.",Architecture
CAD,"Computer-Aided Design, software used for creating precise drawings and plans.",Architecture
Overhang,"A projecting structure that extends beyond the walls of a building, often used for shade or aesthetic purposes.",Architecture
Building Information Modeling (BIM),"A digital representation of the physical and functional characteristics of a building, used for planning and management.",Architecture
Acoustic Design,The art of creating spaces that control sound quality and reduce noise pollution.,Architecture
Module,"A standardized unit or component used in construction, often for prefabrication.",Architecture
As-built,Documentation that reflects the actual construction and modifications made to a project.,Architecture
Scale Model,"A physical representation of a building or site, reduced in size to illustrate design concepts.",Architecture
Zoning Regulations,"Local laws that dictate how land can be used, affecting building height, density, and purpose.",Architecture
Knotty Pine,"A type of wood characterized by visible knots, often used for rustic interior finishes.",Architecture
Continuous Insulation,"A layer of insulation that covers a building's exterior without interruption, enhancing energy efficiency.",Architecture
CAD Software,Computer-Aided Design software used for creating precise drawings and models of architectural designs.,Architecture
Floor Plate,"The basic layout of a floor in a building, affecting its space and function.",Architecture
Section Drawing,A cut-through view of a building that shows internal spaces and relationships.,Architecture
Proportion,"The relationship in size between different parts of a building, contributing to its overall aesthetic.",Architecture
Cantilevered Roof,"A roof that extends beyond its supporting walls, creating a shaded area below.",Architecture
Circulation Space,"Areas within a building that facilitate movement, such as hallways and staircases.",Architecture
Cadence,The rhythmic arrangement of building elements which creates visual harmony.,Architecture
Drafting,The process of creating detailed technical drawings of a building's design.,Architecture
Spatial Organization,The arrangement of spaces within a structure to enhance functionality and flow.,Architecture
Green Building,An approach to construction that emphasizes sustainability and energy efficiency in materials and processes.,Architecture
Charette,An intensive collaborative session where stakeholders contribute to the design process.,Architecture
Precast Concrete,Concrete elements that are cast and cured in a factory and then transported to the construction site.,Architecture
Contextual Architecture,Design that considers the surrounding environment and cultural factors to create a harmonious relationship with the site.,Architecture
Cantilevered Slab,"A slab that extends beyond its support without additional bracing, creating open space below.",Architecture
Post and Beam,A construction method using vertical posts and horizontal beams to create a framework.,Architecture
Gabled Roof,"A roof design that features two sloping sides that meet at a ridge, forming a triangular shape.",Architecture
Cantilever Beam,A beam that is anchored at one end and extends freely over space without support at the other end.,Architecture
Agile Development,"A software development methodology that emphasizes iterative progress, collaboration, and flexibility in response to changing requirements.",Computer Science
Algorithm Complexity,A measure of the time and space resources needed by an algorithm to complete a task.,Computer Science
Machine Vision,"The technology that enables computers to interpret and act upon visual data from the world, often used in automation and robotics.",Computer Science
Virtual Machine,A software emulation of a physical computer that allows you to run an operating system and applications as if they were on a real machine.,Computer Science
Responsive Design,"An approach to web design that ensures web pages render well on a variety of devices and window or screen sizes, providing a seamless user experience.",Computer Science
Neural Networks,"Computational models inspired by the human brain that are designed to recognize patterns and classify data, commonly used in deep learning.",Computer Science
Containerization,A lightweight form of virtualization that allows applications to run in isolated environments called containers.,Computer Science
Version Control,"A system that records changes to files or code over time, enabling collaboration and tracking of modifications.",Computer Science
DevOps,A set of practices that combines software development (Dev) and IT operations (Ops) to shorten the development lifecycle and improve deployment frequency.,Computer Science
Concurrency,"The ability of a system to handle multiple tasks or processes simultaneously, improving efficiency and resource utilization.",Computer Science
Asymmetrical,"A design that lacks symmetry, creating visual interest through uneven shapes or forms.",Architecture
Porte-Cochère,A covered entrance to a building where vehicles can drop off passengers.,Architecture
Open Plan,"An architectural layout that minimizes walls and barriers, promoting a spacious and flexible environment.",Architecture
Typology,The classification of buildings based on their architectural style and function.,Architecture
Mixed-Use Development,"A type of urban development that blends residential, commercial, and cultural spaces in one area.",Architecture
Setback,The required distance a building must be from the property line or street for safety and aesthetic reasons.,Architecture
Coherency,The quality of a design where all elements work harmoniously together to create a unified appearance.,Architecture
Circadian Lighting,Lighting designed to mimic natural sunlight and support the body's biological clock.,Architecture
Vernacular Design,"Architecture that reflects local traditions, materials, and cultural practices.",Architecture
Cantilever Truss,"A type of truss that extends beyond its support, often used in bridges and roofs.",Architecture
Perspective Drawing,A technique used to represent three-dimensional objects on a two-dimensional surface.,Architecture
Punch List,"A document listing work that does not conform to contract specifications, often completed before project finalization.",Architecture
Cross-Laminated Timber,"An engineered wood product made from layers of timber glued at right angles, providing strength and stability.",Architecture
Building Information Modeling,A digital representation of a building's physical and functional characteristics for improved planning and management.,Architecture
Passive Solar Design,A design strategy that uses natural elements to maintain comfortable indoor temperatures without mechanical assistance.,Architecture
Beam Span,"The distance a beam extends between supports, affecting its load-bearing capacity.",Architecture
Aesthetic Appeal,"The visual attractiveness of a building or space, influencing design choices and public perception.",Architecture
SketchUp,A 3D modeling software used for creating architectural designs and visualizations.,Architecture
Radial Symmetry,"A design principle where elements are arranged around a central point, creating balance.",Architecture
Plan View,"A horizontal cut through a building, showing the layout from above.",Architecture
Prefab Construction,"Building components that are manufactured off-site and assembled on location, speeding up construction.",Architecture
Architectural Design,The process of creating plans and specifications for buildings and structures.,Architecture
Renovation,The process of improving or updating an existing building.,Architecture
Cross-section,"A cut-through view of a building or structure, showing its internal components.",Architecture
Schematic Design,The initial phase of the design process where concepts and ideas are developed into visual representations.,Architecture
Façade Retention,Preserving the exterior of a building while renovating or rebuilding the interior.,Architecture
Podium,"A raised platform that supports a taller structure, often used in mixed-use developments.",Architecture
Materiality,"The study of materials' properties and significance in architectural design, affecting aesthetics and performance.",Architecture
Asymmetrical Design,"A design approach that does not rely on symmetry, often creating a more dynamic and interesting appearance.",Architecture
Circulation,"The movement patterns of people within a building, affecting design and functionality.",Architecture
Blueprints,Detailed architectural drawings that outline the design and specifications of a building.,Architecture
Cross Bracing,A structural reinforcement technique using diagonal supports to increase stability and reduce swaying.,Architecture
Form Follows Function,A principle suggesting that the shape of a building should primarily relate to its intended purpose.,Architecture
Brise Solei,A design feature that consists of a series of horizontal or vertical elements to reduce heat and glare from sunlight.,Architecture
Modularity,"A design principle that uses standardized units or sections to create a structure, allowing for flexibility and efficiency.",Architecture
Cantina,"A roof structure that extends beyond the walls of a building, often used to provide shade.",Architecture
Spatial Configuration,"The arrangement of spaces within a building, impacting flow and usability.",Architecture
Microservices,"An architectural style that structures an application as a collection of small, loosely coupled services, each running independently and communicating over APIs.",Computer Science
Augmented Reality,An interactive experience that blends the real world with computer-generated enhancements in real-time.,Computer Science
Distributed System,"A network of independent computers that work together to achieve a common goal, often appearing as a single coherent system.",Computer Science
Frontend Development,The part of web development that involves creating the visual elements of a website that users interact with directly.,Computer Science
Natural Language Processing,A field of artificial intelligence that focuses on the interaction between computers and human languages.,Computer Science
Deep Learning,A subset of machine learning that uses neural networks with many layers to analyze various factors of data.,Computer Science
Dependency Injection,A design pattern that allows a program to achieve Inversion of Control by providing dependencies from an external source rather than creating them internally.,Computer Science
Agile Methodology,"A project management approach that promotes iterative development, collaboration, and flexibility to respond to changing requirements.",Computer Science
APIs,Application Programming Interfaces that allow different software applications to communicate with each other.,Computer Science
Penetration Testing,A simulated cyber attack on a system to evaluate its security and identify vulnerabilities.,Computer Science
Software Development,"The process of designing, coding, testing, and maintaining software applications.",Computer Science
SQL Injection,A security vulnerability that allows an attacker to manipulate a database by injecting malicious SQL code into a query.,Computer Science
Load Balancing,The distribution of workloads across multiple computing resources to ensure optimal performance and avoid overloading any single resource.,Computer Science
Algorithms,"A step-by-step procedure or formula for solving a problem or completing a task in computing, often used for data processing and calculations.",Computer Science
IoT,The Internet of Things refers to the network of physical objects embedded with sensors and software to connect and exchange data with other devices over the internet.,Computer Science
Transference,"The redirection of feelings and desires, often from childhood, onto another person, typically in therapy.",Psychology
Cognitive Load,The total amount of mental effort being used in working memory.,Psychology
Dissonance Reduction,The psychological process of resolving the discomfort caused by conflicting beliefs.,Psychology
Schemas,Mental structures that help organize and interpret information based on previous experiences.,Psychology
Social Learning Theory,The theory that people learn behaviors through observation and imitation of others.,Psychology
Schema Theory,A framework that helps organize and interpret information based on past experiences.,Psychology
Emotional Regulation,The ability to manage and respond to emotional experiences in a healthy manner.,Psychology
Flow State,"A mental state of complete immersion and engagement in an activity, leading to optimal performance.",Psychology
Emotional Intelligence,"The ability to recognize, understand, and manage our own emotions and the emotions of others.",Psychology
Social Learning,Learning that occurs through observing others and imitating their behavior.,Psychology
Psychometrics,The field of study concerned with the theory and technique of psychological measurement.,Psychology
Social Cognition,"The study of how people process, store, and apply information about social situations.",Psychology
Dissonance Theory,The theory that suggests people seek consistency among their beliefs and behaviors to avoid discomfort.,Psychology
Metacognition,"Awareness and understanding of one's own thought processes, often referred to as 'thinking about thinking.'",Psychology
Dopamine Pathway,"A neural pathway in the brain associated with pleasure, reward, and motivation.",Psychology
Myers-Briggs,A personality assessment tool that categorizes individuals into 16 personality types.,Psychology
Groupthink,A phenomenon where the desire for harmony in a group results in irrational decision-making.,Psychology
Psychosomatic Response,A physical reaction that is influenced by emotional or psychological factors.,Psychology
Self-Determination,The process by which a person controls their own life and makes choices.,Psychology
Emotion Regulation,The processes by which individuals influence their emotional experience and expression.,Psychology
Operant Extinction,The process of reducing a behavior by removing its reinforcement.,Psychology
Social Cognitive Theory,"A theory that emphasizes the role of observational learning, imitation, and modeling in behavior.",Psychology
Mental Schema,Cognitive structures that help organize and interpret information based on previous experiences.,Psychology
Dunning-Kruger Effect,A cognitive bias wherein individuals with low ability overestimate their competence.,Psychology
Extinction Burst,An increase in the frequency or intensity of a behavior when reinforcement is removed.,Psychology
Social Conformity,"The act of matching attitudes, beliefs, and behaviors to group norms.",Psychology
Homeostasis,The tendency of the body to maintain a stable internal environment despite external changes.,Psychology
Psychological Projection,A defense mechanism where individuals attribute their own unwanted thoughts or feelings to others.,Psychology
Subliminal Perception,The processing of information by sensory systems without conscious awareness.,Psychology
Empathy,The ability to understand and share the feelings of another person.,Psychology
Psychosomatic Disorders,Conditions where psychological factors cause physical symptoms or exacerbate medical conditions.,Psychology
Mindfulness,"The psychological practice of being fully present and engaged in the moment, without judgment.",Psychology
Social Norms,The accepted behaviors and beliefs within a group or society.,Psychology
Maslow’s Hierarchy,"A theory proposing that humans are motivated by a hierarchy of needs, from basic to self-actualization.",Psychology
Social Reinforcement,The use of social stimuli to encourage or discourage certain behaviors.,Psychology
Operative Conditioning,A method of learning that occurs through rewards and punishments for behavior.,Psychology
Social Psychophysics,The study of how social factors influence perception and response to stimuli.,Psychology
Self-Determination Theory,A theory of motivation that emphasizes the role of intrinsic and extrinsic factors in human behavior.,Psychology
Behavioral Economics,A field that combines psychology and economics to explore how people make decisions.,Psychology
Social Proof,The tendency to conform to the actions of others in an attempt to reflect correct behavior.,Psychology
Dopamine Reward Pathway,"A neural circuit in the brain that reinforces behaviors by releasing dopamine, associated with pleasure and reward.",Psychology
Social Construct,An idea or concept that exists because people agree to behave as if it does.,Psychology
Affordance,"The properties of an object that indicate how it can be used, influencing perception and action.",Psychology
Phenomenology,A qualitative research approach focusing on individuals' subjective experiences and interpretations.,Psychology
