jargon,translation,discipline
Subfloor,"The structural layer beneath the finished floor, providing support and insulation.",Architecture
Architectural Rendering,"A visual representation of a building design, often created using computer software.",Architecture
Ingress,"An entry or means of entry into a building, important for accessibility.",Architecture
Plaza,"An open public space in a city, often used for gatherings and events.",Architecture
Solar Panel,"A device that converts sunlight into electricity, commonly used in sustainable buildings.",Architecture
Accessibility Standards,Guidelines ensuring that buildings are usable by people with disabilities.,Architecture
Rooftop Garden,"A garden created on the roof of a building, promoting green space and biodiversity.",Architecture
Historical Context,"Understanding the social, cultural, and architectural factors influencing a building's design.",Architecture
Finishing Touches,Final details added to a building's interior or exterior to enhance its appearance or functionality.,Architecture
Reinforcement,A stimulus that increases the likelihood of a behavior being repeated.,Psychology
Psychodynamics,The interplay of unconscious psychological processes that influence behavior.,Psychology
Schema Therapy,A therapy focusing on changing deeply entrenched patterns of thinking and behavior.,Psychology
Anxiety Disorder,A mental health disorder characterized by excessive fear or worry.,Psychology
Cognitive Reappraisal,The process of changing one’s emotional response by reinterpreting the meaning of an event.,Psychology
Subliminal Messaging,The use of stimuli below the threshold of conscious awareness to influence behavior.,Psychology
Deliberate Practice,A focused and structured approach to skill improvement through practice.,Psychology
Interpersonal Skills,The skills used to interact and communicate effectively with others.,Psychology
Positive Psychology,"The study of what makes life worth living, focusing on strengths and well-being.",Psychology
Cognitive Triad,"A model that describes the three key components of depression: negative thoughts about self, world, and future.",Psychology
Rational Emotive Behavior Therapy,A form of therapy that helps individuals challenge and change irrational beliefs.,Psychology
Mind-Body Connection,"The relationship between a person's thoughts, emotions, and physical health.",Psychology
Group Dynamics,The patterns of interaction and influence among group members.,Psychology
Psychometric Testing,"The measurement of psychological traits, abilities, and characteristics using standardized tests.",Psychology
Stress Inoculation,A cognitive-behavioral approach to prepare individuals to cope with stress.,Psychology
Behavioral Neuroscience,The study of the relationship between behavior and the brain.,Psychology
Client-Centered Therapy,A therapeutic approach that emphasizes the client's perspective and experiences.,Psychology
Cognitive Empathy,The ability to understand another person's perspective or mental state.,Psychology
Emotional Contagion,"The phenomenon of catching the emotions of others, often unconsciously.",Psychology
Body Language,Non-verbal signals expressed through body movements and posture.,Psychology
Cognitive Fusion,The tendency to become entangled with thoughts and beliefs rather than observing them.,Psychology
Self-Compassion,Treating oneself with kindness and understanding in times of suffering.,Psychology
Emotional Labor,The process of managing feelings and expressions to fulfill the emotional requirements of a job.,Psychology
Cognitive Flexibility,The ability to adapt one's thinking to new and unexpected conditions.,Psychology
Social Support,"The assistance and comfort provided by friends, family, and community.",Psychology
Psychological Safety,A belief that one will not be penalized or humiliated for speaking up or taking risks.,Psychology
Somatic Experiencing,A therapeutic approach focusing on resolving trauma by addressing the body's sensations.,Psychology
Person-Centered Approach,A therapeutic style that emphasizes the client’s perspective and promotes self-discovery.,Psychology
Schema Activation,The process of bringing mental frameworks into play when processing new information.,Psychology
Psychological First Aid,A supportive approach to help individuals in crisis situations cope and recover.,Psychology
Resilience Training,Programs designed to enhance an individual's ability to cope with stress and adversity.,Psychology
Affect Regulation,The ability to manage and respond to one's emotional experiences.,Psychology
OpenAPI,A specification for building APIs that describe their capabilities in a machine-readable format.,Computer Science
Serverless Computing,"A cloud computing model where the cloud provider manages the infrastructure, allowing developers to focus on writing code.",Computer Science
Spyware,Software that secretly monitors user activity and collects private information without consent.,Computer Science
Usability,The ease with which users can effectively use a product or system.,Computer Science
Virtual Private Network,A secure connection over the internet that allows users to send and receive data as if they were directly connected to a private network.,Computer Science
Accessibility,"The design of products, devices, services, or environments for people with disabilities.",Computer Science
BLOB,Binary Large Object; a collection of binary data stored as a single entity in a database.,Computer Science
CAP Theorem,"A principle that states it's impossible for a distributed data store to simultaneously provide all three guarantees: Consistency, Availability, and Partition tolerance.",Computer Science
DDoS,Distributed Denial of Service; an attack that aims to make a service unavailable by overwhelming it with traffic.,Computer Science
Feature Flag,A technique to enable or disable functionality without deploying new code.,Computer Science
HCI,Human-Computer Interaction; the study of how people interact with computers and to design technologies that let humans interact with computers in novel ways.,Computer Science
Normalization,The process of organizing data to reduce redundancy and improve data integrity in a database.,Computer Science
Payload,The actual data carried by a packet in a network or a message in a communication protocol.,Computer Science
REST,Representational State Transfer; an architectural style for designing networked applications that relies on stateless communication.,Computer Science
Semantic Web,"An extension of the web that enables data to be shared and reused across applications, enterprises, and communities.",Computer Science
Whitelisting,The practice of allowing only approved entities or applications while blocking all others.,Computer Science
Foundation,"The lowest load-bearing part of a building, which transfers weight to the ground.",Architecture
Grid System,A framework of intersecting lines used to organize and align design elements.,Architecture
Load Path,The route through which loads travel through a structure.,Architecture
Pavilion,"A structure or building that is open on one or more sides, often used for recreation.",Architecture
Rafter,A sloped beam that supports the roof of a building.,Architecture
Terrace,"A flat, outdoor space that is often a part of a building's structure or landscape.",Architecture
Kiosk,"A small, open structure used for selling goods or providing information.",Architecture
Niche,"A shallow recess in a wall, often used for displaying decorative items.",Architecture
Oculus,A circular opening at the top of a dome or wall that allows light to enter.,Architecture
Pitched Roof,"A roof with a slope, designed to allow rain and snow to run off.",Architecture
Rubble,"Loose stones or bricks used in construction, often for walls or foundations.",Architecture
Vapor Barrier,A material that prevents moisture from passing through building elements.,Architecture
Xeriscaping,A landscaping method that reduces or eliminates the need for irrigation.,Architecture
Yard,"An area of land around a building, typically used for outdoor activities.",Architecture
Dovetail Joint,A woodworking joint that interlocks two pieces of wood for strength and stability.,Architecture
Egress Window,A window that provides an exit from a basement or lower level in case of emergency.,Architecture
Fascia,"A board that runs horizontally along the edge of a roof, often attaching the roof to the wall.",Architecture
Gutter,A channel along the edge of a roof that collects and directs rainwater away from the building.,Architecture
Kneewall,A short wall that supports the roof and is often found in attics or lofts.,Architecture
Lintel Beam,A horizontal beam that spans an opening and supports the structure above it.,Architecture
Nail Pattern,"The arrangement of nails used in construction, often for structural integrity.",Architecture
Quarry Tile,"Unglazed ceramic tile made from natural clay, often used for flooring.",Architecture
Ridge Beam,A horizontal beam at the peak of a roof that supports the rafters.,Architecture
Sheathing,"The material that covers the exterior walls and roof of a building, providing structural support.",Architecture
Trestle,A framework consisting of a horizontal beam supported by two or more vertical posts.,Architecture
Underlayment,A layer of material placed beneath flooring for support and insulation.,Architecture
Window Sill,The horizontal ledge at the bottom of a window frame.,Architecture
Yurt,"A portable, circular tent traditionally used by nomadic cultures in Central Asia.",Architecture
Zoning Ordinance,Local laws that dictate how land can be used and what types of buildings can be constructed.,Architecture
Aversive Conditioning,A behavior modification technique that pairs an unpleasant stimulus with unwanted behavior.,Psychology
Hallucination,"A perception in the absence of external stimulus, often seen in certain mental health disorders.",Psychology
Delusion,"A false belief that persists despite evidence to the contrary, often associated with mental health disorders.",Psychology
Psychosis,A severe mental disorder characterized by a disconnection from reality.,Psychology
Transdiagnostic,An approach that looks at common factors across different mental health disorders rather than treating them in isolation.,Psychology
Exposure Therapy,A treatment method that involves gradual exposure to feared objects or situations to reduce anxiety.,Psychology
Dialectical Behavior Therapy,A type of cognitive-behavioral therapy that emphasizes balancing acceptance and change.,Psychology
Narrative Therapy,A therapeutic approach that focuses on the stories people tell about their lives to create meaning and change.,Psychology
Psychoeducation,Providing education about mental health conditions to help individuals and families understand and cope.,Psychology
Grief Stages,"The emotional phases individuals go through when dealing with loss, as proposed by Elisabeth Kübler-Ross.",Psychology
Subconscious Mind,"The part of the mind that is not currently in focal awareness, influencing thoughts and behaviors.",Psychology
Attention Deficit Disorder,"A neurodevelopmental disorder characterized by issues with focus, impulsivity, and hyperactivity.",Psychology
Operant Behavior,"Behavior that is influenced by the consequences that follow it, such as rewards or punishments.",Psychology
Autonomic Nervous System,The part of the nervous system that controls involuntary bodily functions like heartbeat and digestion.,Psychology
Debugger,A tool used to test and debug programs by allowing developers to inspect and control code execution.,Computer Science
Session Management,The process of handling user sessions in applications to maintain state and user data.,Computer Science
Data Visualization,The graphical representation of information and data to help people understand complex data sets.,Computer Science
Scripting Language,A programming language designed for integrating and communicating with other programming languages.,Computer Science
Cross-Platform,Software that is designed to work on multiple operating systems or devices.,Computer Science
Data Ethics,"The study of ethical issues related to data collection, storage, and usage.",Computer Science
Information Retrieval,The process of obtaining information system resources that are relevant to an information need.,Computer Science
Network Topology,"The arrangement of different elements (links, nodes, etc.) in a computer network.",Computer Science
User Authentication,The process of verifying the identity of a user trying to access a system or application.,Computer Science
Data Integrity,"The accuracy and consistency of data over its lifecycle, ensuring it remains reliable and valid.",Computer Science
API Gateway,A server that acts as an intermediary for requests from clients seeking access to services.,Computer Science
Business Intelligence,Technologies and strategies used by enterprises for data analysis of business information.,Computer Science
Data Annotation,The process of labeling data to make it understandable for machine learning algorithms.,Computer Science
End-To-End Encryption,A method of data transmission where only the communicating users can read the messages.,Computer Science
Information Security,"The practice of protecting information from unauthorized access, use, disclosure, disruption, modification, or destruction.",Computer Science
Robotic Process Automation,The use of software robots to automate repetitive tasks traditionally performed by humans.,Computer Science
Data Pipeline,"A series of data processing steps that involve collecting, processing, and storing data.",Computer Science
Event-Driven Architecture,A software architecture pattern that uses events to trigger and communicate between decoupled services.,Computer Science
Progressive Web App,"A type of application software delivered through the web, built using common web technologies.",Computer Science
Synthetic Data,Data that is artificially generated rather than obtained by direct measurement.,Computer Science
Data Fabric,An integrated layer of data and connecting processes that allows for seamless data management.,Computer Science
Business Continuity,Planning and preparation to ensure that critical business functions continue during and after a disaster.,Computer Science
Digital Twin,A virtual model of a physical object or system used for simulation and analysis.,Computer Science
Data Sovereignty,The concept that digital data is subject to the laws and governance structures of the nation where it is collected.,Computer Science
Social Engineering,The manipulation of people into revealing confidential information for fraudulent purposes.,Computer Science
Zero Trust,"A security model that assumes no one, inside or outside the network, should be trusted by default.",Computer Science
Predictive Analytics,The use of statistical algorithms and machine learning techniques to identify the likelihood of future outcomes.,Computer Science
Low-Code Development,"A software development approach that requires minimal coding to build applications, often using visual interfaces.",Computer Science
Continous Deployment,A software release process that allows updates to be automatically deployed to production as soon as they pass tests.,Computer Science
Data Compliance,Adhering to laws and regulations governing the handling and protection of data.,Computer Science
Conditioned Stimulus,A previously neutral stimulus that elicits a response after association with an unconditioned stimulus.,Psychology
Personality Trait,"A consistent pattern of thinking, feeling, or behaving that distinguishes individuals.",Psychology
Meta-Cognition,Thinking about one's own thinking processes.,Psychology
Cognitive Behavioral Approach,A method that focuses on changing negative thought patterns to influence emotions and behaviors.,Psychology
Zajonc's Social Facilitation,The theory that the presence of others enhances performance on well-practiced tasks.,Psychology
Explicit Memory,A type of long-term memory that involves conscious recall of facts and events.,Psychology
Threshold Theory,A theory suggesting that there is a minimum level of stimulus intensity needed for detection.,Psychology
Stereotype Threat,"The risk of confirming negative stereotypes about one's group, affecting performance.",Psychology
Brain Plasticity,The brain's ability to change and adapt as a result of experience.,Psychology
Somatic Symptom Disorder,A mental disorder characterized by an intense focus on physical symptoms that cause significant distress.,Psychology
Narrative Psychology,A perspective that uses storytelling to understand how individuals construct their identity.,Psychology
Thematic Apperception Test,A projective psychological test used to assess personality through storytelling.,Psychology
Behavioral Genetics,The study of the role of genetic and environmental influences on behavior.,Psychology
Crisis Theory,A framework for understanding the psychological impact of crises on individuals.,Psychology
Bracing,"Structural supports that add stability to a building, preventing it from swaying.",Architecture
Ridge,The highest point of a roof where two slopes meet.,Architecture
Porte-Cochere,"A roofed structure extending over a driveway, allowing for vehicle drop-off.",Architecture
Architectural Salvage,Reusing building materials and architectural elements from decommissioned structures.,Architecture
Energy Audit,A systematic assessment of energy use in a building to identify efficiency improvements.,Architecture
Facade Engineering,The design and analysis of a building's exterior to balance aesthetics and performance.,Architecture
Space Syntax,A method for analyzing spatial layouts in urban environments to understand social dynamics.,Architecture
Site Context,The physical and cultural environment surrounding a building site that influences design.,Architecture
Greenfield Development,"Construction on undeveloped land, often with challenges related to environmental impact.",Architecture
Brownfield Redevelopment,The process of rehabilitating previously developed land for new use.,Architecture
Open-Plan,"A design concept that minimizes walls and barriers to create large, open spaces.",Architecture
Deflection,The degree to which a structural element bends or deforms under load.,Architecture
Site Setback,"The minimum distance a building must be from property lines, as defined by local zoning laws.",Architecture
Non-Load Bearing,Walls that do not support any weight from the structure above.,Architecture
Ecoproducts,Building materials that are designed to reduce environmental impact.,Architecture
Lighting Design,The art and science of making light work effectively in a space.,Architecture
Breezeway,"A roofed outdoor passage connecting two buildings, often open to the air.",Architecture
Form-Based Code,Zoning regulations that focus on the physical form of buildings rather than their use.,Architecture
Civic Space,"Public areas designed for community use and engagement, such as parks and plazas.",Architecture
Landslide Mitigation,Strategies and engineering practices to prevent or minimize the impact of landslides.,Architecture
Proxy Server,An intermediary server that forwards requests from clients seeking resources from other servers.,Computer Science
Refactoring,The process of restructuring existing computer code without changing its external behavior to improve its readability and maintainability.,Computer Science
Scrum Master,"A facilitator for an agile development team, ensuring that the team adheres to scrum practices.",Computer Science
Wi-Fi,A technology that allows devices to connect to a network wirelessly using radio waves.,Computer Science
Bandwidth,"The maximum rate of data transfer across a network path, usually measured in bits per second.",Computer Science
Docker,"A platform used to develop, ship, and run applications in containers, which package software and its dependencies together.",Computer Science
Turing Machine,"A theoretical computing machine that can simulate any algorithm's logic, used to understand the limits of what can be computed.",Computer Science
Failover,The process of switching to a backup system when the primary system fails.,Computer Science
Microkernel,An operating system architecture that uses a minimal core kernel and relies on user-space services.,Computer Science
Quantum Bit,"The basic unit of quantum information, analogous to a classical bit but capable of existing in multiple states.",Computer Science
Web Framework,"A software framework designed to aid the development of web applications, providing a structure for building and deploying.",Computer Science
Stress Coping Mechanisms,Strategies used to manage stress and reduce its negative effects.,Psychology
Narcissistic Personality,A personality disorder characterized by an inflated sense of self-importance and a need for admiration.,Psychology
Post-Traumatic Stress,A mental health condition triggered by experiencing or witnessing a traumatic event.,Psychology
Systematic Desensitization,A therapeutic technique used to reduce anxiety by gradually exposing a person to the feared object or context.,Psychology
Transformational Leadership,A leadership style that inspires and motivates followers to exceed their own self-interests for the good of the organization.,Psychology
Developmental Stages,The different phases of growth individuals go through from infancy to adulthood.,Psychology
Emotional Attachment,A deep emotional bond that connects one person to another.,Psychology
Rational Emotive Therapy,A cognitive-behavioral therapy that focuses on changing irrational beliefs.,Psychology
Mindset Theory,The idea that attitudes and beliefs about abilities can shape one's motivation and success.,Psychology
Situational Leadership,A leadership style that adapts to the needs of the team and the demands of the situation.,Psychology
Acceptance and Commitment Therapy,A type of therapy that encourages acceptance of thoughts and feelings while committing to personal values.,Psychology
Narrative Identity,The internalized story of the self that individuals create based on their experiences.,Psychology
Peak-End Rule,A cognitive bias where people judge an experience based on how they felt at its peak and end.,Psychology
Stigma,A mark of disgrace associated with a particular circumstance or quality.,Psychology
Psychopathy,A personality disorder characterized by persistent antisocial behavior and lack of empathy.,Psychology
Ego Defense,Strategies used by the ego to protect itself from anxiety and stress.,Psychology
Internalization,The process of integrating external standards and norms into one’s own values.,Psychology
Affect Display,"Observable expressions of emotion, such as facial expressions or body language.",Psychology
Dopamine Reward System,A brain pathway that reinforces behaviors by releasing dopamine when we experience pleasure.,Psychology
Collective Consciousness,"The set of shared beliefs, ideas, and moral attitudes that operate as a unifying force.",Psychology
Abreaction,The expression and emotional release of repressed memories or feelings.,Psychology
Ecological Validity,The extent to which research findings can be generalized to real-world settings.,Psychology
Psychological Reactance,The emotional response when individuals feel their freedoms are being restricted.,Psychology
Existential Psychology,A branch of psychology that explores the meaning of existence and personal responsibility.,Psychology
Interpersonal Neurobiology,An interdisciplinary field that studies the interaction between brain functioning and social relationships.,Psychology
DNS,The system that translates human-friendly domain names (like www.example.com) into IP addresses that computers can understand.,Computer Science
HTML,The standard markup language used to create web pages.,Computer Science
HTTPS,An extension of HTTP that adds a layer of security through encryption.,Computer Science
SSD,"Solid State Drive, a type of storage device that uses flash memory for faster data access compared to traditional hard drives.",Computer Science
Software Development Kit,A collection of tools and libraries that developers use to create applications for specific platforms.,Computer Science
Spam,"Unsolicited messages sent over the internet, often for advertising purposes.",Computer Science
Web API,An interface that allows different software applications to communicate over the web.,Computer Science
Thread Safety,A property of a program or code that ensures it behaves correctly when multiple threads access shared data.,Computer Science
Cryptocurrency,A digital currency that uses cryptography for security and operates independently of a central bank.,Computer Science
Remote Desktop,A technology that allows a user to access and control a computer from a remote location.,Computer Science
Geolocation,The identification of the geographic location of a person or device using digital information.,Computer Science
Behavioral Targeting,A marketing technique that uses data to deliver personalized advertisements to users based on their online behavior.,Computer Science
Cantilever Roof,A roof structure that extends beyond its supporting walls without additional support.,Architecture
Ridge Line,"The highest point of a roof where two slopes meet, crucial for drainage and aesthetics.",Architecture
Coating,A protective layer applied to building materials to enhance durability and aesthetics.,Architecture
Structural Integrity,The ability of a building to withstand its intended load without failure or collapse.,Architecture
Cross-Bracing,A structural reinforcement technique using diagonal supports to enhance stability and resistance to forces.,Architecture
Sculptural Form,"An architectural style that emphasizes artistic, three-dimensional shapes and forms in design.",Architecture
Marquee,"A large tent or canopy often used for events, providing shelter and a decorative entrance.",Architecture
Sculpted Roof,"A roof design that features unique, artistic shapes rather than a traditional flat or pitched style.",Architecture
Waterproofing,"Methods used to prevent water from penetrating a structure, protecting it from damage and decay.",Architecture
Interior Design,The art and science of enhancing the interior of a building to achieve a healthier and more aesthetically pleasing space.,Architecture
Rhythm,"The visual flow and repetition of architectural elements, creating harmony and aesthetic appeal.",Architecture
Glazing,"The installation of glass in windows and walls, affecting light, insulation, and aesthetic value.",Architecture
Hard Hat,A protective helmet worn on construction sites to prevent head injuries from falling objects.,Architecture
Delineation,The process of creating clear boundaries or definitions in architectural design and planning.,Architecture
Site Specific,Design that is tailored to the unique characteristics of a particular location or environment.,Architecture
Elevation Drawing,"A scaled diagram that shows the exterior view of a building, highlighting design features and materials.",Architecture
Sculptural Element,A three-dimensional design feature intended to enhance aesthetic appeal or convey artistic expression.,Architecture
Wattle and Daub,A traditional building method using woven branches covered with mud or clay for insulation.,Architecture
Lattice,"A framework of crossed strips of material, often used for decorative purposes or to support climbing plants.",Architecture
Chimney,A structure that allows smoke and gases from a fireplace or furnace to exit a building.,Architecture
Sill,"The horizontal ledge at the bottom of a window or door frame, providing support and preventing water entry.",Architecture
Turf,"Grass and the soil it grows in, often used in landscaping to create green spaces.",Architecture
Veranda,"A roofed, open-air porch attached to the outside of a building, providing a transition between indoor and outdoor spaces.",Architecture
Iterative Development,A method of software development that builds and improves a product through repeated cycles.,Computer Science
CRUD,"An acronym for Create, Read, Update, and Delete; the four basic operations of persistent storage.",Computer Science
Encryption Key,A string of bits used by encryption algorithms to transform data into a secure format.,Computer Science
Cross-Site Scripting,A security vulnerability that allows an attacker to inject malicious scripts into web pages viewed by users.,Computer Science
Exploits,Pieces of software or code that take advantage of vulnerabilities in a system to gain unauthorized access.,Computer Science
Code Review,The process of examining source code by developers to improve quality and identify bugs.,Computer Science
Kanban,"A visual workflow management method used to visualize work, limit work-in-progress, and maximize efficiency.",Computer Science
Sprint,A set period during which specific work has to be completed and made ready for review in agile development.,Computer Science
Technical Debt,The implied cost of additional work caused by choosing an easy solution now instead of using a better approach.,Computer Science
Gradient Descent,An optimization algorithm used to minimize a function by iteratively moving towards the steepest descent.,Computer Science
Hyperparameter,A parameter whose value is set before the learning process begins and can significantly impact model performance.,Computer Science
Computer Vision,A field of artificial intelligence that enables computers to interpret and make decisions based on visual data.,Computer Science
5G Network,"The fifth generation of mobile network technology, designed to provide faster speeds and more reliable internet connections.",Computer Science
Service Mesh,An infrastructure layer that facilitates service-to-service communications in microservices architecture.,Computer Science
CSS,Cascading Style Sheets; a stylesheet language used to describe the presentation of a document written in HTML.,Computer Science
Content Management System,"A software application that enables users to create, manage, and modify digital content without specialized technical knowledge.",Computer Science
Search Engine Optimization,The practice of improving the quantity and quality of traffic to a website through organic search engine results.,Computer Science
UX Design,"The process of enhancing user satisfaction by improving the usability, accessibility, and pleasure of interaction with a product.",Computer Science
UI Design,"The process of designing user interfaces for software or machines, focusing on layout, visual elements, and functionality.",Computer Science
Data Scientist,"A professional who uses scientific methods, algorithms, and systems to extract knowledge and insights from structured and unstructured data.",Computer Science
Risk Assessment,The process of identifying and analyzing potential issues that could negatively impact key business initiatives or projects.,Computer Science
Threat Modeling,The process of identifying and evaluating potential security threats to a system.,Computer Science
Identity Theft,The act of obtaining and using someone else's personal information without their consent for fraudulent purposes.,Computer Science
Malware Analysis,The process of studying malware to understand its functionality and impact.,Computer Science
Digital Forensics,"The process of collecting, preserving, and analyzing electronic data for legal evidence.",Computer Science
Compliance,"The act of adhering to laws, regulations, guidelines, and specifications relevant to business processes.",Computer Science
GDPR,General Data Protection Regulation; a regulation in EU law on data protection and privacy for individuals.,Computer Science
Data Privacy,The aspect of information technology that deals with the proper handling and protection of sensitive data.,Computer Science
Compliance Auditing,The process of evaluating an organization’s compliance with external regulations and internal policies.,Computer Science
Incident Management,"The process of identifying, analyzing, and correcting hazards to prevent a future re-occurrence.",Computer Science
Change Management,"A structured approach to transitioning individuals, teams, and organizations from a current state to a desired future state.",Computer Science
Disaster Recovery,A set of policies and procedures to enable the recovery or continuation of vital technology infrastructure after a disaster.,Computer Science
Incident Response Plan,A documented strategy outlining how to respond to various types of security incidents.,Computer Science
Security Policy,A formalized set of rules and practices that regulate how an organization manages its security.,Computer Science
Access Control,The selective restriction of access to a place or resource to ensure security and privacy.,Computer Science
Authentication,The process of verifying the identity of a user or system before granting access to resources.,Computer Science
Authorization,The process of granting a user permission to perform specific tasks or access certain resources.,Computer Science
Single Sign-On,An authentication process that allows a user to access multiple applications with one set of login credentials.,Computer Science
Multi-Factor Authentication,A security mechanism that requires two or more verification methods to gain access to a resource.,Computer Science
Digital Signature,"A mathematical scheme for verifying the authenticity and integrity of a message, software, or digital document.",Computer Science
Public Key Infrastructure,A framework that manages digital certificates and public-key encryption to secure communications.,Computer Science
Certificate Authority,An entity that issues digital certificates for secure communications and verifies the identity of certificate holders.,Computer Science
Data Loss Prevention,"Strategies and tools used to ensure that sensitive data is not lost, misused, or accessed by unauthorized users.",Computer Science
Network Security,"The practice of protecting a computer network from intruders, whether targeted attackers or opportunistic malware.",Computer Science
Endpoint Security,"The approach to protecting endpoints or entry points of end-user devices such as desktops, laptops, and mobile devices.",Computer Science
Security Incident,"An event that compromises the integrity, confidentiality, or availability of an information asset.",Computer Science
Threat Intelligence,Information that helps organizations understand potential threats to their assets and systems.,Computer Science
Vulnerability Management,"The process of identifying, evaluating, treating, and reporting security vulnerabilities in systems.",Computer Science
Security Assessment,"A comprehensive evaluation of an organization’s security policies, procedures, and controls.",Computer Science
Malware Removal,The process of detecting and eliminating malicious software from a computer system.,Computer Science
Security Awareness Training,Educational programs aimed at improving employees' understanding of security protocols and best practices.,Computer Science
Security Operations Center,A centralized unit that deals with security issues on an organizational and technical level.,Computer Science
Security Framework,A structured approach to managing security risks and ensuring compliance with regulations and standards.,Computer Science
Risk Management,"The process of identifying, assessing, and controlling threats to an organization's capital and earnings.",Computer Science
Business Impact Analysis,The process of evaluating the potential effects of a disruption to critical business operations.,Computer Science
Unconditional Stimulus,A stimulus that naturally triggers a response without prior learning.,Psychology
Dopamine Reward,A neurotransmitter that plays a major role in the reward system and pleasure.,Psychology
Insight Therapy,Therapeutic approaches that focus on increasing a person's awareness of underlying issues.,Psychology
Transpersonal Psychology,A subfield of psychology that integrates spiritual and transcendent aspects of the human experience.,Psychology
Gestalt Therapy,A form of psychotherapy that emphasizes personal responsibility and focuses on the present moment.,Psychology
Familial Patterns,Recurring behaviors and dynamics observed within family systems.,Psychology
Phenotypic Plasticity,The ability of an organism to change its phenotype in response to environmental changes.,Psychology
Expressive Arts Therapy,A therapeutic approach that uses creative arts to help individuals express emotions.,Psychology
Interpersonal Effectiveness,The ability to communicate and interact effectively with others.,Psychology
Antisocial Personality,A personality disorder characterized by disregard for others' rights and social norms.,Psychology
Ecological Systems Theory,A framework that emphasizes the multiple influences on an individual's development.,Psychology
Suicidal Ideation,The consideration or contemplation of suicide.,Psychology
Substance Use Disorder,A condition characterized by an individual's inability to control their use of substances.,Psychology
Sexual Orientation,"An individual's pattern of emotional, romantic, or sexual attraction to others.",Psychology
Visual-Spatial Skills,The ability to visualize and manipulate objects in a three-dimensional space.,Psychology
Vicarious Reinforcement,Learning that occurs by observing the consequences of another person's behavior.,Psychology
Intergenerational Trauma,Psychological effects of trauma that are passed down through generations.,Psychology
Behavioral Activation Therapy,A therapy that helps individuals engage more with their environment to improve mood.,Psychology
Sensory Processing Disorder,A condition where the brain has trouble receiving and responding to sensory input.,Psychology
Cognitive Behavioral Framework,"A model that connects thoughts, emotions, and behaviors in understanding human psychology.",Psychology
Interpersonal Relationship,The social connections and interactions between two or more people.,Psychology
Crisis Management,The process of dealing with a disruptive and unexpected event.,Psychology
Antidepressant Medication,Drugs prescribed to alleviate symptoms of depression.,Psychology
Mindfulness-Based Stress Reduction,A therapeutic practice that incorporates mindfulness meditation to reduce stress.,Psychology
Psychological Assessment,The use of tests and evaluations to understand an individual's mental health.,Psychology
Self-Disclosure,The act of revealing personal information to others.,Psychology
Cognitive Behavioral Change,The process of altering thought patterns to promote positive behavior changes.,Psychology
Psychological Flexibility,The ability to adapt to changing situational demands and shift mental strategies.,Psychology
Imposter Syndrome,The feeling of being a fraud despite evident success or accomplishments.,Psychology
Developmental Trauma,Psychological harm caused by adverse experiences during critical periods of development.,Psychology
Emotion-Focused Therapy,A therapeutic approach that helps individuals process and regulate their emotions.,Psychology
Relational-Cultural Theory,A framework that emphasizes the importance of relationships in psychological development.,Psychology
Complicated Grief,An intense and prolonged form of grief that impairs functioning.,Psychology
Holistic Psychology,"An approach that considers the whole person, including mental, emotional, and spiritual aspects.",Psychology
Evidenced-Based Practice,Therapeutic approaches that are supported by research and clinical evidence.,Psychology
Grief Counseling,Therapeutic support for individuals dealing with loss and bereavement.,Psychology
Cognitive Assessment,Tests designed to measure cognitive abilities and processes.,Psychology
Self-Help Strategies,Techniques individuals use to improve their own mental health.,Psychology
Community Psychology,"The study of individuals within their social contexts, focusing on social issues.",Psychology
Cognitive Processing Therapy,A treatment for PTSD that helps individuals process and reframe traumatic memories.,Psychology
Emotion Regulation Strategies,Techniques used to manage and respond to emotional experiences.,Psychology
Postmodern Psychology,An approach that challenges traditional psychological theories and emphasizes social contexts.,Psychology
Psychological Well-Being,A positive state of mental health characterized by life satisfaction and emotional balance.,Psychology
Cognitive Behavioral Techniques,Therapeutic methods that focus on changing negative thought patterns to improve behavior.,Psychology
Experiential Therapy,A therapeutic approach that uses direct experiences to promote healing.,Psychology
Behavioral Activation Techniques,Strategies aimed at increasing engagement in activities that align with personal values.,Psychology
Cognitive Behavioral Intervention,Therapeutic actions aimed at changing negative thought patterns to improve mental health.,Psychology
Motivational Enhancement Therapy,A client-centered approach aimed at enhancing motivation to change.,Psychology
Child Psychology,"The study of the mental, emotional, and social development of children.",Psychology
Cognitive Behavioral Model of Depression,A framework that connects negative thought patterns to depression.,Psychology
Environmental Psychology,The study of how physical environments influence human behavior and well-being.,Psychology
Suicide Prevention,Strategies and interventions aimed at reducing the risk of suicide.,Psychology
Cognitive Behavioral Strategies,Techniques that help change unhelpful thinking patterns to improve emotional well-being.,Psychology
Therapeutic Approaches,Different methods used in therapy to promote healing and personal growth.,Psychology
Peer Support,Emotional and practical assistance provided by individuals with shared experiences.,Psychology
Mindfulness Meditation,A practice that involves focusing on the present moment to enhance awareness and reduce stress.,Psychology
Psychological Research,The scientific study of behavior and mental processes.,Psychology
Behavioral Analysis,The examination of behavior to understand and change it.,Psychology
Psychological Trauma,Emotional response to a deeply distressing or disturbing event.,Psychology
Cognitive Complexity,The ability to understand and integrate multiple perspectives and ideas.,Psychology
Therapeutic Techniques,Methods used by therapists to facilitate healing and personal growth.,Psychology
Psychological Conditioning,The process of learning associations between stimuli and responses.,Psychology
